HGG100_,Training
HGG101_,Training
HGG102_,Training
HGG103_,Training
HGG104_,Inference
HGG105_,Training
HGG106_,Inference
HGG107_,Training
HGG108_,Inference
HGG109_,Training
HGG10_,Inference
HGG110_,Training
HGG111_,Training
HGG112_,Inference
HGG113_,Training
HGG114_,Inference
HGG115_,Training
HGG116_,Training
HGG117_,Training
HGG118_,Training
HGG119_,Training
HGG11_,Training
HGG120_,Training
HGG121_,Training
HGG122_,Training
HGG123_,Inference
HGG124_,Training
HGG125_,Training
HGG126_,Training
HGG127_,Inference
HGG128_,Training
HGG129_,Training
HGG12_,Training
HGG130_,Inference
HGG131_,Training
HGG132_,Training
HGG133_,Training
HGG134_,Training
HGG135_,Training
HGG136_,Training
HGG137_,Training
HGG138_,Training
HGG139_,Training
HGG13_,Validation
HGG140_,Training
HGG141_,Training
HGG142_,Training
HGG143_,Validation
HGG144_,Training
HGG145_,Training
HGG146_,Validation
HGG147_,Training
HGG148_,Training
HGG149_,Validation
HGG14_,Training
HGG150_,Training
HGG151_,Training
HGG152_,Training
HGG153_,Training
HGG154_,Inference
HGG155_,Training
HGG156_,Training
HGG157_,Training
HGG158_,Inference
HGG159_,Training
HGG15_,Training
HGG160_,Inference
HGG161_,Inference
HGG162_,Training
HGG163_,Inference
HGG164_,Training
HGG165_,Training
HGG166_,Training
HGG167_,Inference
HGG168_,Training
HGG169_,Training
HGG16_,Training
HGG170_,Training
HGG171_,Training
HGG172_,Training
HGG173_,Validation
HGG174_,Validation
HGG175_,Validation
HGG176_,Training
HGG177_,Training
HGG178_,Inference
HGG179_,Inference
HGG17_,Validation
HGG180_,Training
HGG181_,Validation
HGG182_,Inference
HGG183_,Training
HGG184_,Training
HGG185_,Training
HGG186_,Training
HGG187_,Training
HGG188_,Training
HGG189_,Training
HGG18_,Training
HGG190_,Training
HGG191_,Inference
HGG192_,Validation
HGG193_,Inference
HGG194_,Inference
HGG195_,Validation
HGG196_,Training
HGG197_,Training
HGG198_,Training
HGG199_,Training
HGG19_,Training
HGG1_,Inference
HGG200_,Training
HGG201_,Inference
HGG202_,Inference
HGG203_,Training
HGG204_,Inference
HGG205_,Training
HGG206_,Training
HGG207_,Training
HGG208_,Training
HGG209_,Validation
HGG20_,Validation
HGG210_,Inference
HGG21_,Validation
HGG22_,Training
HGG23_,Validation
HGG24_,Training
HGG25_,Training
HGG26_,Training
HGG27_,Training
HGG28_,Training
HGG29_,Training
HGG2_,Training
HGG30_,Training
HGG31_,Training
HGG32_,Inference
HGG33_,Training
HGG34_,Training
HGG35_,Training
HGG36_,Training
HGG37_,Validation
HGG38_,Inference
HGG39_,Training
HGG3_,Inference
HGG40_,Training
HGG41_,Training
HGG42_,Training
HGG43_,Training
HGG44_,Training
HGG45_,Training
HGG46_,Training
HGG47_,Training
HGG48_,Training
HGG49_,Inference
HGG4_,Training
HGG50_,Training
HGG51_,Training
HGG52_,Training
HGG53_,Inference
HGG54_,Inference
HGG55_,Training
HGG56_,Training
HGG57_,Validation
HGG58_,Validation
HGG59_,Training
HGG5_,Training
HGG60_,Training
HGG61_,Training
HGG62_,Training
HGG63_,Training
HGG64_,Training
HGG65_,Inference
HGG66_,Training
HGG67_,Training
HGG68_,Inference
HGG69_,Training
HGG6_,Training
HGG70_,Training
HGG71_,Training
HGG72_,Inference
HGG73_,Training
HGG74_,Inference
HGG75_,Training
HGG76_,Validation
HGG77_,Training
HGG78_,Training
HGG79_,Training
HGG7_,Inference
HGG80_,Training
HGG81_,Training
HGG82_,Training
HGG83_,Inference
HGG84_,Training
HGG85_,Training
HGG86_,Training
HGG87_,Inference
HGG88_,Training
HGG89_,Training
HGG8_,Inference
HGG90_,Training
HGG91_,Training
HGG92_,Training
HGG93_,Training
HGG94_,Inference
HGG95_,Inference
HGG96_,Training
HGG97_,Training
HGG98_,Training
HGG99_,Training
HGG9_,Training
LGG10_,Training
LGG11_,Training
LGG12_,Training
LGG13_,Training
LGG14_,Validation
LGG15_,Training
LGG16_,Validation
LGG17_,Validation
LGG18_,Training
LGG19_,Training
LGG1_,Inference
LGG20_,Inference
LGG21_,Inference
LGG22_,Training
LGG23_,Inference
LGG24_,Training
LGG25_,Training
LGG26_,Training
LGG27_,Inference
LGG28_,Training
LGG29_,Validation
LGG2_,Validation
LGG30_,Training
LGG31_,Training
LGG32_,Training
LGG33_,Inference
LGG34_,Training
LGG35_,Training
LGG36_,Inference
LGG37_,Training
LGG38_,Training
LGG39_,Training
LGG3_,Training
LGG40_,Training
LGG41_,Validation
LGG42_,Inference
LGG43_,Training
LGG44_,Training
LGG45_,Inference
LGG46_,Training
LGG47_,Inference
LGG48_,Inference
LGG49_,Training
LGG4_,Training
LGG50_,Training
LGG51_,Training
LGG52_,Training
LGG53_,Inference
LGG54_,Validation
LGG55_,Training
LGG56_,Training
LGG57_,Validation
LGG58_,Training
LGG59_,Training
LGG5_,Training
LGG60_,Training
LGG61_,Training
LGG62_,Training
LGG63_,Training
LGG64_,Training
LGG65_,Inference
LGG66_,Training
LGG67_,Training
LGG68_,Validation
LGG69_,Training
LGG6_,Validation
LGG70_,Training
LGG71_,Inference
LGG72_,Training
LGG73_,Training
LGG74_,Training
LGG75_,Inference
LGG7_,Training
LGG8_,Training
LGG9_,Training
